Molecule ChEMBL ID;Smiles;IC50_nM;Activity_status
CHEMBL3091488;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccc(F)c(F)c1F;1000;Inactive
CHEMBL2333025;O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1ccncc1;1000;Inactive
CHEMBL2069854;N[C@@H](CC(=O)N1CCN(C(=O)c2cc3ccccc3s2)CC1)Cc1cc(F)c(F)cc1F;1013;Inactive
CHEMBL5429724;N#CCCCCNC12CC3CC(C1)CC(NCC(=O)N1Cc4ccccc4C1)(C3)C2;1040;Inactive
CHEMBL565101;N#Cc1ccnc(OC[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)c1;1100;Inactive
CHEMBL564283;N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)C(F)(F)F)Cc1cc(F)c(F)cc1F;1100;Inactive
CHEMBL5429638;CC(C)(C)C(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;1100;Inactive
CHEMBL5409197;O=C(NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2)OCC(Cl)(Cl)Cl;1100;Inactive
CHEMBL506177;CC[C@@H](C)[C@H](N)C(=O)N1Cc2ccc(C)cc2C1;1100;Inactive
CHEMBL556708;N[C@@H](CC(=O)N1CCC[C@H]1CNc1ccc(F)cn1)Cc1cc(F)c(F)cc1F;1200;Inactive
CHEMBL563244;N#Cc1ccc(NC[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)nc1;1200;Inactive
CHEMBL550321;CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C(=O)C(C)(C)C;1200;Inactive
CHEMBL480942;N#Cc1cc(F)cc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)c1;1200;Inactive
CHEMBL488105;CC[C@@H](C)[C@H](N)C(=O)N1Cc2cccc(F)c2C1;1200;Inactive
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;1200;Inactive
CHEMBL563272;N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)C1CC1)Cc1cc(F)c(F)cc1F;1200;Inactive
CHEMBL142703;N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;1200;Inactive
CHEMBL3093907;N#Cc1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1;1290;Inactive
CHEMBL559543;CS(=O)(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;1300;Inactive
CHEMBL3127990;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc(-c2ccc(C(F)(F)F)cc2)n1;1300;Inactive
CHEMBL2069848;N[C@@H](CC(=O)N1CCN(C(=O)c2ccc3ccccc3n2)CC1)Cc1cc(F)c(F)cc1F;1368;Inactive
CHEMBL1082350;CC(=O)O[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl;1380;Inactive
CHEMBL3093922;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc([N+](=O)[O-])cc1;1390;Inactive
CHEMBL3093903;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccc(F)cc1;1390;Inactive
CHEMBL562072;N#Cc1cccnc1NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;1400;Inactive
CHEMBL1082654;CCO[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl;1400;Inactive
CHEMBL25211;N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1;1400;Inactive
CHEMBL461092;N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N1CCSC1;1420;Inactive
CHEMBL2069308;N[C@@H](CC(=O)N1CCN(C(=O)c2ccc3cccnc3n2)CC1)Cc1cc(F)c(F)cc1F;1449;Inactive
CHEMBL557315;N[C@@H](CC(=O)N1CCC[C@H]1COc1ccnc(C(F)(F)F)n1)Cc1cc(F)c(F)cc1F;1500;Inactive
CHEMBL564105;CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C(=O)C1CC1;1500;Inactive
CHEMBL3127986;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1cscn1;1500;Inactive
CHEMBL98408;CC[C@H](C)[C@H](N)C(=O)N1CCSC1;1600;Inactive
CHEMBL558647;N[C@@H](CC(=O)N1CCC[C@H]1CN(C1CC1)S(=O)(=O)C(F)(F)F)Cc1cc(F)c(F)cc1F;1600;Inactive
CHEMBL3215820;CCCc1nc(CC(C)(C)C)c(CN)c(-c2ccc(C)cc2)c1C(=O)O.Cl.Cl;1600;Inactive
CHEMBL566628;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(-c2cnccn2)no1)Cc1cc(F)c(F)cc1F;1600;Inactive
CHEMBL2418638;Cl.N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccncc3)nn2)cc1;1610;Inactive
CHEMBL479567;N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cc1F;1660;Inactive
CHEMBL5279548;N#C[C@@H]1C[C@H]2[C@H](CC2(F)F)N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2;1660;Inactive
CHEMBL563849;N#Cc1ccc(OC[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)nc1;1700;Inactive
CHEMBL2203319;N[C@@H](CC(=O)NC1(c2cccc(-n3ccnc3)c2)CCS(=O)(=O)CC1)Cc1cc(F)c(F)cc1F;1700;Inactive
CHEMBL549581;N[C@@H](CC(=O)N1CCC[C@H]1CNc1ncc(F)cn1)Cc1cc(F)c(F)cc1F;1700;Inactive
CHEMBL552069;N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1(C(F)(F)F)CC1)Cc1cc(F)c(F)cc1F;1700;Inactive
CHEMBL237152;C[C@@H](C1CCC(c2cccc3ncnn23)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1;1700;Inactive
CHEMBL5408738;NCCCN1CCN(CCCNC(=O)OC23CC4CC(CC(NCC(=O)N5Cc6ccccc6C5)(C4)C2)C3)CC1;1700;Inactive
CHEMBL3093904;Cc1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1;1760;Inactive
CHEMBL2069830;N[C@@H](CC(=O)N1CCN(c2ccc(F)cc2F)CC1)Cc1cc(F)c(F)cc1F;1763;Inactive
CHEMBL5398362;CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2;1800;Inactive
CHEMBL479794;N#Cc1c(F)cccc1N1C[C@@H]2[C@H](C1)[C@H]2NCC(=O)N1C[C@@H](F)C[C@H]1C#N;1910;Inactive
CHEMBL520266;N#Cc1c(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)cccc1C(F)(F)F;1910;Inactive
CHEMBL3093896;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(Br)cc1;1950;Inactive
CHEMBL3357771;N[C@@H](CC(=O)N1[C@H](COC(=O)C2CCC2)C[C@@H]2CCCC[C@@H]21)Cc1cc(F)c(F)cc1F;1960;Inactive
CHEMBL520921;N#Cc1c(F)cc(F)cc1N1C[C@@H]2[C@H](C1)[C@H]2NCC(=O)N1C[C@@H](F)C[C@H]1C#N;1960;Inactive
CHEMBL557860;CC(F)(F)C(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;2000;Inactive
CHEMBL3127989;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc(-c2ccc(Cl)cc2)n1;2000;Inactive
CHEMBL3093917;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1cccc(F)c1;2000;Inactive
CHEMBL3093921;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(N)cc1;2030;Inactive
CHEMBL3093901;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1cccc(C(F)(F)F)c1;2030;Inactive
CHEMBL2069860;N[C@@H](CC(=O)N1CCN(C(=O)c2ncc(F)cc2F)CC1)Cc1cc(F)c(F)cc1F;2096;Inactive
CHEMBL453573;CC[C@@H](C)[C@H](N)C(=O)N1CCCC1;2100;Inactive
CHEMBL3357769;CC(=O)OC[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;2180;Inactive
CHEMBL2011534;N[C@H]1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)C[C@@H]1c1cc(F)c(F)cc1F;2200;Inactive
CHEMBL487871;N[C@@H](CCCCN(Cc1ccccc1)Cc1ccccc1)C(=O)N1Cc2ccccc2C1;2390;Inactive
CHEMBL3216719;CCc1nc(CC(C)(C)C)c(CN)c(-c2ccc(C)cc2)c1C(=O)O.Cl.Cl;2400;Inactive
CHEMBL480712;N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2CC(F)(F)C[C@H]2C#N)nc1;2410;Inactive
CHEMBL1083588;CN(C)C(=O)N1C[C@@H]2C[C@@](C)(NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1;2430;Inactive
CHEMBL3093908;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccc(C(F)(F)F)cc1;2490;Inactive
CHEMBL560184;N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)C1CC1)Cc1cccc(Cl)c1;2500;Inactive
CHEMBL232914;C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N(C)C;2500;Inactive
CHEMBL237783;CN(C)C(=O)[C@@H]([C@H]1CC[C@@H](c2cccc3ncnn32)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1;2600;Inactive
CHEMBL189055;CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CCC[C@H]1C#N.O=C(O)C(F)(F)F;2600;Inactive
CHEMBL5425283;CC(C)(OC(=O)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2)C(Cl)(Cl)Cl;2600;Inactive
CHEMBL3127984;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1cccs1;2600;Inactive
CHEMBL2069847;N[C@@H](CC(=O)N1CCN(C(=O)c2ccco2)CC1)Cc1cc(F)c(F)cc1F;2609;Inactive
CHEMBL453582;O=C([C@@H]1C[C@@H](Nc2ccc3ccccc3c2)CN1)N1Cc2ccccc2C1;2650;Inactive
CHEMBL395213;Cl.N[C@H](C(=O)N1CC[C@H](F)C1)C1CCC(NS(=O)(=O)c2ccc(F)cc2F)CC1;2700;Inactive
CHEMBL564488;N[C@@H](CC(=O)N1CCC[C@H]1CNc1ncccn1)Cc1cc(F)c(F)cc1F;2700;Inactive
CHEMBL3127991;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc(-c2cccs2)n1;2700;Inactive
CHEMBL559601;CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C(=O)C(C)(F)F;2700;Inactive
CHEMBL1243373;O=C(NCC(=O)N1CCC[C@H]1B(O)O)c1cccc2ccccc12;2700;Inactive
CHEMBL22310;N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1;2720;Inactive
CHEMBL22310;N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1;2720;Inactive
CHEMBL3093914;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1cc(F)c(F)cc1F;2740;Inactive
CHEMBL2069852;N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(O)nc2)CC1)Cc1cc(F)c(F)cc1F;2740;Inactive
CHEMBL459642;N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N1CCCC1;2790;Inactive
CHEMBL3093905;COc1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1;2867;Inactive
CHEMBL563648;N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1CC1)Cc1cc(F)c(F)cc1F;2900;Inactive
CHEMBL549296;N[C@@H](CC(=O)N1CCC[C@H]1CNc1nccc(C(F)(F)F)n1)Cc1cc(F)c(F)cc1F;3000;Inactive
CHEMBL3215606;Cc1ccc(-c2c(CN)c(CC(C)(C)C)nc(CC(C)C)c2C(=O)O)cc1.Cl.Cl;3000;Inactive
CHEMBL2206488;N[C@@H](CC(=O)NC1(c2ccccc2)CCS(=O)(=O)CC1)Cc1cc(F)c(F)cc1F;3000;Inactive
CHEMBL480155;N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3ccc(C(N)=O)cc3)C[C@@H]21;3030;Inactive
CHEMBL1422;N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F;3060;Inactive
CHEMBL1683135;Cc1ccc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c(C)n1;3100;Inactive
CHEMBL392524;C[C@@H](C1CCC(c2ccc(F)cc2)CC1)[C@H](N)C(=O)N1CC[C@](C)(F)C1;3100;Inactive
CHEMBL3093912;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccccc1C(F)(F)F;3140;Inactive
CHEMBL557723;N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1CCCC1)Cc1cc(F)c(F)cc1F;3200;Inactive
CHEMBL365322;CC(C)[C@H](N)C(=O)N[C@@H](C)B(O)O;3200;Inactive
CHEMBL3127985;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc2ccccc12;3200;Inactive
CHEMBL1083589;Cl.N#C[C@@H]1CCCN1C(=O)CN[C@H]1C[C@H]2C[C@@H](O)C[C@H]2C1;3220;Inactive
CHEMBL2011528;N[C@H]1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)C[C@@H]1c1cc(F)ccc1F;3280;Inactive
CHEMBL3357770;N[C@@H](CC(=O)N1[C@H](COC(=O)C2CC2)C[C@@H]2CCCC[C@@H]21)Cc1cc(F)c(F)cc1F;3300;Inactive
CHEMBL561120;N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1CC1)Cc1cccc(Cl)c1;3400;Inactive
CHEMBL2333026;C[C@@H](NC(=O)c1ccncc1)C(=O)N1CCC[C@H]1B(O)O;3400;Inactive
CHEMBL3112968;NC[C@]1(c2cccc(Cl)c2)CC[C@H](N2CCc3c(nc(C(F)(F)F)nc3C3CC3)C2=O)CC1;3500;Inactive
CHEMBL550114;N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)CC(F)(F)F)Cc1cc(F)c(F)cc1F;3600;Inactive
CHEMBL488047;N[C@@H](CCCCN(c1ccc2ccccc2c1)c1ccc2ccccc2c1)C(=O)N1Cc2ccccc2C1;3670;Inactive
CHEMBL480781;N#Cc1cc(C(F)(F)F)ccc1N1C[C@@H]2[C@H](C1)[C@H]2NCC(=O)N1C[C@@H](F)C[C@H]1C#N;3680;Inactive
CHEMBL237566;CN(C)C(=O)[C@@H]([C@H]1CC[C@@H](c2cccc3ncnn32)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1;3700;Inactive
CHEMBL558323;CC(C)(F)C(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;3700;Inactive
CHEMBL390513;N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)nc1;3735;Inactive
CHEMBL566829;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(-c2ncc(F)cc2F)no1)Cc1cc(F)c(F)cc1F;3900;Inactive
CHEMBL549992;N[C@@H](CC(=O)N1CCC[C@H]1COCC1CC1)Cc1cc(F)c(F)cc1F;4000;Inactive
CHEMBL3093918;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(F)cc1;4060;Inactive
CHEMBL469878;CC[C@H](C)[C@H](N)C(=O)N1Cc2ccc(Br)cc2C1;4100;Inactive
CHEMBL1683133;N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccncc2)CC1;4200;Inactive
CHEMBL2069859;N[C@@H](CC(=O)N1CCN(C(=O)c2cccc(F)n2)CC1)Cc1cc(F)c(F)cc1F;4226;Inactive
CHEMBL469890;CC[C@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1;4300;Inactive
CHEMBL469890;CC[C@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1;4300;Inactive
CHEMBL554908;N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1CC1(F)F)Cc1cc(F)c(F)cc1F;4400;Inactive
CHEMBL3093925;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(Cl)cc1;4720;Inactive
CHEMBL2069851;N[C@@H](CC(=O)N1CCN(C(=O)c2cnccn2)CC1)Cc1cc(F)c(F)cc1F;4746;Inactive
CHEMBL585129;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(N2CCOCC2)no1)Cc1cc(F)c(F)cc1F;4800;Inactive
CHEMBL2069857;N[C@@H](CC(=O)N1CCN(C(=O)c2cc(Cl)ccn2)CC1)Cc1cc(F)c(F)cc1F;4814;Inactive
CHEMBL479803;N#Cc1cc(F)ccc1N1C[C@@H]2[C@H](C1)[C@H]2NCC(=O)N1C[C@@H](F)C[C@H]1C#N;4850;Inactive
CHEMBL2069850;N[C@@H](CC(=O)N1CCN(C(=O)c2ccccn2)CC1)Cc1cc(F)c(F)cc1F;4862;Inactive
CHEMBL563901;N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1CCC1)Cc1cc(F)c(F)cc1F;5000;Inactive
CHEMBL1083031;COC(=O)N1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1;5040;Inactive
CHEMBL425200;CSc1ccc(-c2nc3c(s2)CN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)CC3)cc1;5100;Inactive
CHEMBL455298;NCCCC[C@H](N)C(=O)N1CCSC1;5100;Inactive
CHEMBL567727;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(-c2ncccn2)no1)Cc1cc(F)c(F)cc1F;5100;Inactive
CHEMBL564249;CS(=O)(=O)c1cccc(C(=O)NC[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cccc(Cl)c2)c1;5100;Inactive
CHEMBL501126;NCCCC[C@H](N)C(=O)N1CCCC1;5100;Inactive
CHEMBL3357780;Cc1ccc(S(=O)(=O)NC[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1;5260;Inactive
CHEMBL3127988;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc(-c2ccccc2)n1;5400;Inactive
CHEMBL482262;N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3nccc(C(F)(F)F)n3)C[C@@H]21;5420;Inactive
CHEMBL392924;N[C@H]1C[C@@H](N2Cc3ccccc3C2)CC[C@@H]1c1cc(F)c(F)cc1F;5500;Inactive
CHEMBL3093911;N#Cc1ccccc1C[C@H](N)C(=O)N1C[C@@H](F)C[C@H]1C#N;5600;Inactive
CHEMBL3330073;N#C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;5660;Inactive
CHEMBL1085269;CN(C)C(=O)N1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1;5700;Inactive
CHEMBL488493;O=C([C@@H]1C[C@H](Nc2ccc3ccccc3c2)CN1)N1Cc2ccccc2C1;5770;Inactive
CHEMBL3216060;Cc1ccc(-c2c(CN)c(CC(C)(C)C)nc(Cc3ccccc3)c2C(=O)O)cc1.Cl.Cl;5800;Inactive
CHEMBL515387;O=C([C@@H]1C[C@H](N2CCN(c3ncccn3)CC2)CN1)N1CCC(F)(F)C1;5980;Inactive
CHEMBL480537;N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3nc4ccccc4o3)C[C@@H]21;5990;Inactive
CHEMBL224435;O=C([C@@H]1CCCN1)N1CCSC1;6129;Inactive
CHEMBL3357772;N[C@@H](CC(=O)N1[C@H](COC(=O)C2CCCC2)C[C@@H]2CCCC[C@@H]21)Cc1cc(F)c(F)cc1F;6270;Inactive
CHEMBL3616907;CC#CCn1c(N2CCNCC2)nc2c1c(=O)n(Cc1nn(-c3ccccc3)nc1C)c(=O)n2C;6300;Inactive
CHEMBL3093916;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1F;6500;Inactive
CHEMBL372078;CS(=O)(=O)c1ccc(-c2nc3c(s2)CN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)CC3)cc1;6500;Inactive
CHEMBL387050;O=C1c2ccccc2CN1CC(=O)N1CCC[C@H]1B(O)O;6500;Inactive
CHEMBL566616;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(N2CCCC2)no1)Cc1cc(F)c(F)cc1F;6600;Inactive
CHEMBL98408;CC[C@H](C)[C@H](N)C(=O)N1CCSC1;6600;Inactive
CHEMBL452268;O=C([C@@H]1C[C@H](N(c2ccc3ccccc3c2)c2ccc3ccccc3c2)CN1)N1Cc2ccccc2C1;6690;Inactive
CHEMBL67279;CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O;6800;Inactive
CHEMBL3127987;Cc1nc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cs1;6800;Inactive
CHEMBL1082973;CN(C)C(=O)O[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl;6860;Inactive
CHEMBL2063028;C[C@H](N)C(=O)N1C[C@@H](Cl)C[C@H]1B(O)O;6900;Inactive
CHEMBL2206476;COc1cccc(-c2csc(C3(NC(=O)C[C@H](N)Cc4ccccc4F)CCS(=O)(=O)CC3)n2)c1;7000;Inactive
CHEMBL1683136;N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccc(F)nc2)CC1;7200;Inactive
CHEMBL452998;N#Cc1cccnc1N1C[C@@H]2[C@H](C1)[C@H]2NCC(=O)N1C[C@@H](F)C[C@H]1C#N;7300;Inactive
CHEMBL3093915;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1cc(F)cc(F)c1F;7360;Inactive
CHEMBL565813;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(C2(C(F)(F)F)CC2)no1)Cc1cc(F)c(F)cc1F;7400;Inactive
CHEMBL3127992;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1cc2c(cc1Br)OCO2;7500;Inactive
CHEMBL469669;CC[C@H](C)[C@H](N)C(=O)N1Cc2ccc(C)cc2C1;7600;Inactive
CHEMBL2206475;N[C@@H](CC(=O)NC1(c2nc(-c3ccccc3)cs2)CCS(=O)(=O)CC1)Cc1cc(F)c(F)cc1F;7700;Inactive
CHEMBL3093910;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccc(OCc2ccccc2)cc1;7740;Inactive
CHEMBL1082974;CCN(CC)C(=O)O[C@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1.Cl;7750;Inactive
CHEMBL195547;N[C@@H](CC(=O)N1CCc2nc(-c3ccc(F)cc3)sc2C1)Cc1cc(F)ccc1F;7800;Inactive
CHEMBL482104;N#C[C@@H]1C[C@H](F)CN1C(=O)CN[C@H]1[C@@H]2CN(c3cnc4ccccc4n3)C[C@@H]21;7810;Inactive
CHEMBL3093920;COc1ccc(C[C@H](N)C(=O)N2CCC[C@H]2C#N)cc1;8090;Inactive
CHEMBL1683113;N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCC(F)(F)C2)CC1;8100;Inactive
CHEMBL3093923;N#Cc1ccc(C[C@H](N)C(=O)N2CCC[C@H]2C#N)cc1;8140;Inactive
CHEMBL566425;CS(=O)(=O)N1CC(c2noc([C@@H]3CCCN3C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)n2)C1;8200;Inactive
CHEMBL549502;N[C@H]1Cn2c(nc3ccncc32)C[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;8400;Inactive
CHEMBL469891;CC[C@H](C)[C@H](N)C(=O)N1Cc2cccc(F)c2C1;8600;Inactive
CHEMBL2206474;N[C@@H](CC(=O)NC1(c2nc(-c3ccccc3)cs2)CCS(=O)(=O)CC1)Cc1ccccc1F;8600;Inactive
CHEMBL2206482;N[C@@H](CC(=O)NC1(c2nc(-c3ccc(F)cc3)cs2)CCS(=O)(=O)CC1)Cc1ccccc1F;8800;Inactive
CHEMBL564043;CS(=O)(=O)c1ccccc1C(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cccc(Cl)c1;8800;Inactive
CHEMBL512145;N[C@@H](CC(=O)NC1(c2ccccc2)CCS(=O)(=O)CC1)Cc1ccccc1F;9000;Inactive
CHEMBL3112966;NC[C@]1(c2cccc(Cl)c2)CC[C@H](N2CCCCC2=O)CC1;9000;Inactive
CHEMBL3093909;CC(C)(C)c1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1;9190;Inactive
CHEMBL511659;CC[C@@H](C)[C@H](N)C(=O)N1C[C@H](N=[N+]=[N-])C[C@H]1C#N;9200;Inactive
CHEMBL248997;N[C@@H](CC(=O)N1CCc2[nH]c(-c3ccccc3)nc2C1)Cc1cc(F)ccc1F;9400;Inactive
CHEMBL200347;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccccc2)cc1;9420;Inactive
CHEMBL3093900;N#Cc1cccc(C[C@H](N)C(=O)N2CCC[C@H]2C#N)c1;9460;Inactive
CHEMBL230883;N#Cc1ccc(N2CC[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C2)nc1.O=C(O)C(F)(F)F;9600;Inactive
CHEMBL197352;N[C@@H](CC(=O)N1CCc2nc(-c3ccc(C(F)(F)F)cc3)sc2C1)Cc1cc(F)ccc1F;9600;Inactive
CHEMBL3093897;Cc1ccccc1C[C@H](N)C(=O)N1CCC[C@H]1C#N;9720;Inactive
CHEMBL567279;CC(=O)N1CC(c2noc([C@@H]3CCCN3C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)n2)C1;9800;Inactive
CHEMBL567893;COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O;10000;Inactive
